"","dcirnum","q1a","q1b","q1c","q1d","q1e","q1f","q1g","q2a","q2b","q2c","q2d","q3zp","q4popserv","q5state","q6ftemp","q7fcap","q8mfi5yrs","q9wdp","q10wmfp","q11nims","q12cpg","q13srwp","q14a","q14b","q14c","q14d","q14e","q14f","q14g","q14h","q14i","q14j","q14k","q14l","q15a","q15b","q15c","q15d","q15e","q15f","q15g","q16a","q16b","q16c","q16d","q17a","q17b","q17c","q17d","q17e","q17f","q17g","q17h","q17i","q17j","q17k","q17l","q17m","q17n","q18a","q18b","q19a","q19b","q20drills","q21sroster","q22wmfi","q23wcbrne","q24amfi","q25acbrne","q26preeventp","q27wprep","q28jprep","q29a","q29b","q29c","q29d","q29e","q29f","q29g","q29h","q29i","q29j","q29k","q30fema","q31ua","q32js"
"42",42,1,0,1,0,0,0,0,0,1,0,0,"45005",3,39,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,1,99,1,0,1,0,0,1,0,0,0,0,0,5,1,1
"43",43,1,0,0,0,0,0,0,0,1,0,0,"80138",1,7,2,1,0,0,0,88,88,88,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,2,2,1,0,99,0,99,99,99,99,99,1,99,0,1,1,0,1,1,0,0,0,0,0,8,0,0
"44",44,1,0,0,0,0,0,0,0,1,0,0,"13357",1,35,1,1,0,1,0,88,88,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,11,4,11,4,11,3,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0
"45",45,1,0,0,0,0,0,0,0,1,0,0,"04841",1,22,2,1,0,1,0,99,99,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,10,3,3,2,2,2,3,1,1,1,0,1,1,1,0,0,0,0,1,0,0
"46",46,1,0,0,0,0,0,0,0,1,0,0,"80104",3,7,2,2,0,1,0,99,99,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,8,1,8,1,6,3,3,0,1,1,1,1,1,1,0,0,0,0,8,1,1
"47",47,1,0,0,0,0,0,0,0,1,0,0,"63116",4,28,3,1,0,0,0,88,88,88,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,99,0,11,99,11,99,99,2,99,0,1,1,0,0,1,1,0,0,0,0,7,1,1
"48",48,1,0,0,0,0,0,0,0,1,0,0,"30114",4,12,3,1,0,0,0,88,88,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,6,2,6,2,1,2,2,1,1,1,1,1,1,1,0,0,0,0,4,1,1
"49",49,1,0,0,0,0,0,0,0,1,0,0,"39819",2,12,2,1,0,0,0,88,88,88,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,2,2,1,0,1,0,11,6,11,6,1,2,3,0,1,1,1,1,1,1,0,0,0,0,4,0,1
"50",50,1,0,0,0,0,0,0,0,1,0,0,"61455",1,16,88,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,11,11,11,11,11,4,5,1,1,0,0,0,0,0,0,0,0,0,5,0,0
"51",51,1,0,1,0,0,0,0,0,1,0,0,"43130",3,39,3,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,9,8,9,8,9,88,88,0,0,1,0,0,0,1,0,0,0,0,5,1,1
"52",52,1,0,0,0,0,0,0,0,1,0,0,"53950",1,55,1,1,0,1,0,88,88,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,11,6,11,6,11,2,99,0,1,0,0,0,1,0,0,0,0,0,5,0,0
"53",53,1,0,0,0,0,0,0,0,1,0,0,"38732",1,27,2,1,0,1,0,99,99,99,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,11,9,11,9,11,3,4,0,1,1,0,1,1,1,0,0,0,0,4,0,0
"54",54,1,0,0,0,0,0,0,0,1,0,0,"63445",1,28,1,1,0,0,0,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,2,2,0,0,0,0,99,88,99,99,99,1,1,1,0,1,0,0,0,0,0,0,0,0,7,0,0
"55",55,1,0,0,0,0,0,0,0,1,0,0,"79316",1,48,1,1,0,0,0,88,88,88,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,1,0,0,0,11,6,6,6,1,1,99,0,1,1,1,1,1,1,0,0,0,0,6,0,0
"56",56,1,0,0,0,0,0,0,0,1,0,0,"23093",1,51,2,1,0,88,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,11,2,11,2,99,3,4,0,0,1,0,1,1,0,0,0,0,0,3,0,0
"57",57,1,0,0,0,0,0,0,0,1,0,0,"04843",1,22,2,1,0,0,0,88,88,88,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,2,2,1,0,0,0,9,4,7,3,1,2,2,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"58",58,1,0,1,0,0,0,0,0,1,0,0,"18969",99,42,3,1,0,0,0,88,88,88,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,9,6,6,99,2,99,0,0,0,0,1,1,0,0,0,0,0,3,99,99
